SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeVariance,ResponseTimeStandardDeviation,ResponseTimeMean,ResponseTimeMedian,ResponseTimeMode,ResponseTimeSkewFromMedian,ResponseTimeSkewFromMode,ResponseTimeCoefficientofVariation,Classification
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07632613182067871,291,3812.586764958533,12368,162041.48834710356,372048.4540816327,609.9577477839205,904.2142857142857,1232.0,1466.0,-1.6121725585581062,-0.9210239829345176,0.6745721201496869,0.0005698819422078411,0.023872200196208164,0.06540073667253767,0.0741654634475708,0.0,-1.101456091561931,2.7396191442348012,0.36501424006485705,4.243935200065607e-05,0.006514549255371094,0.008238554000854492,0.008238554000854492,0.0017240047454833984,0.0,1.0,0.7907394009549993,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07640409469604492,357,4672.524442835656,12368,161876.14092154452,390962.7555555556,625.2701460613289,848.3333333333334,998.0,1466.0,-0.7180896174690551,-0.9878396890647063,0.7370571466341794,0.000539423299078913,0.02322548813435173,0.06613429387410481,0.07424497604370117,0.0,-1.047644138544528,2.8474877897738855,0.35118675612632155,4.243935200065607e-05,0.006514549255371094,0.008238554000854492,0.008238554000854492,0.0017240047454833984,0.0,1.0,0.7907394009549993,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07652401924133301,423,5527.676201454988,12368,161622.45687847584,402389.62109375,634.3418802930719,799.4375,824.5,1466.0,-0.11852835566408239,-1.0507937765232243,0.7934852696965953,0.0005120343268634198,0.022628175508940612,0.06678365170955658,0.07441949844360352,0.0,-1.0123458779559942,2.9513493778218978,0.3388280653976664,4.243935200065607e-05,0.006514549255371094,0.008238554000854492,0.008238554000854492,0.0017240047454833984,0.0,1.0,0.7907394009549993,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07656192779541016,528,6896.378072022023,12368,161542.43180827345,405418.2422145329,636.7246203929395,758.5882352941177,651.0,1466.0,0.50691412825087,-1.1110168227346382,0.8393547260142658,0.00048720820705269534,0.022072793367688998,0.06735884442048914,0.07459402084350586,0.0,-0.9833612315160587,3.0516683275389878,0.32768960865627494,4.243935200065607e-05,0.006514549255371094,0.008238554000854492,0.008238554000854492,0.0017240047454833984,0.0,1.0,0.7907394009549993,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.09183812141418457,528,5749.246520611531,12434,135390.40007061322,408063.3209876543,638.7983414095988,720.1111111111111,521.0,1466.0,0.9350890486271971,-1.1676437469185967,0.8870830230961873,0.0004915824271432221,0.02217165819561591,0.06871880425347222,0.07545602321624756,0.0,-0.9115987947316695,3.0993985044862487,0.32264324789230625,3.92992060874854e-05,0.006268907886345547,0.010584433873494467,0.014753103256225586,0.0017240047454833984,-1.9949261298659344,1.4133927772826544,0.5922761633991727,False
192.168.1.50,140.82.112.21,56313,443,2025-01-13 21:08:03,0.1153719425201416,78,676.0742542441182,74,641.4037796674967,4.0,2.0,76.0,76.0,74.0,0.0,1.0,0.02631578947368421,0.0033276712802177144,0.0576859712600708,0.0576859712600708,0.0576859712600708,0.0,0.0,1.0,1.0,0.0,0.0,0.1153719425201416,0.1153719425201416,0.1153719425201416,-10.0,-10.0,0.0,False
192.168.1.50,140.82.112.21,56313,443,2025-01-13 21:08:03,0.11547112464904785,144,1247.0650167967112,74,640.8528558538655,24.888888888888886,4.988876515698588,72.66666666666667,74.0,66.0,-0.8017837257372704,1.336306209562123,0.0686542639775035,0.002960475065075722,0.054410247794654656,0.07694768905639648,0.1153719425201416,0.0,-2.118585469896719,1.414213170776185,0.7071069769850568,0.0,0.0,0.1153719425201416,0.1153719425201416,0.1153719425201416,-10.0,-10.0,0.0,False
192.168.1.50,140.82.112.21,56313,443,2025-01-13 21:08:03,0.11599111557006836,1634,14087.285840551529,74,637.9798973077192,376675.0,613.738543681265,427.0,76.0,66.0,1.715714306753493,0.5881983520778832,1.4373268001903161,0.0025061792651683845,0.05006175451548202,0.08670854568481445,0.11542153358459473,0.0,-1.7206541107683635,1.7320316981299388,0.5773566390728831,0.0,0.0,0.1153719425201416,0.1153719425201416,0.1153719425201416,-10.0,-10.0,0.0,False
192.168.1.50,140.82.112.21,56313,443,2025-01-13 21:08:03,0.11600708961486816,2149,18524.72988620319,74,637.8920481987138,302579.04000000004,550.0718498523624,444.6,78.0,66.0,1.9993751730709053,0.6882737229720355,1.2372286321465642,0.0021422881603621134,0.04628485886725932,0.0925682544708252,0.11547112464904785,0.0,-1.4844727242599545,1.9999683856939559,0.500007903701446,0.0,0.0,0.1153719425201416,0.1153719425201416,0.1153719425201416,-10.0,-10.0,0.0,False
192.168.1.50,140.82.112.21,56313,443,2025-01-13 21:08:03,0.22845196723937988,2149,9406.791396758705,140,612.8202864337918,272057.25,521.5910754604607,381.5,76.0,66.0,1.7571236225445643,0.6048799813560394,1.3672112069736848,0.004349737827491633,0.06595254223676016,0.11521553993225098,0.1157311201095581,0.0,-0.023452326164605002,1.7469461528661585,0.5724274891697905,2.141927225807194e-06,0.0014635324478149414,0.11390841007232666,0.11390841007232666,0.11244487762451172,0.0,1.0,0.012848326536079863,False
192.168.1.50,140.82.112.21,56313,443,2025-01-13 21:08:03,0.23287010192871094,2149,9228.320777125258,1630,6999.610454497056,383653.83673469385,619.3979631341177,539.8571428571429,78.0,66.0,2.236964780382095,0.7650285778459026,1.1473367933153809,0.005423358459308604,0.07364345496585968,0.13202333450317383,0.11599111557006836,0.0,0.6531015800604888,1.7927368367545824,0.557806354785633,2.141927225807194e-06,0.0014635324478149414,0.11390841007232666,0.11390841007232666,0.11244487762451172,0.0,1.0,0.012848326536079863,False
192.168.1.50,140.82.112.21,56313,443,2025-01-13 21:08:03,0.23287200927734375,2149,9228.245192150182,3120,13397.917635881138,434437.734375,659.1189076145517,658.625,296.5,1490.0,1.648223086076761,-1.2613429692206348,1.000749907177152,0.005857832189800405,0.07653647620448961,0.14462941884994507,0.11599910259246826,0.0,1.122222409912727,1.8896796145085804,0.5291902353828665,2.141927225807194e-06,0.0014635324478149414,0.11390841007232666,0.11390841007232666,0.11244487762451172,0.0,1.0,0.012848326536079863,False
