"No.","Time","Source","Destination","Protocol","Length","Info"
"15126","697.590953225","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"15127","697.591476229","192.168.64.11","217.146.1.31","DoH","482","Standard query 0x0000 HTTPS www.temu.com OPT"
"15129","697.592019233","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA stun.ideasip.com OPT"
"15140","697.609245000","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15142","697.609914964","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15143","697.610092132","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15188","697.654478372","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"15189","697.654661832","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A www.temu.com OPT"
"15191","697.656345471","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS www.temu.com OPT"
"15192","697.656695390","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15194","697.657066727","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15196","697.657447605","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15246","697.711208380","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15247","697.711682718","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15248","697.711949845","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15255","697.731019877","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"15256","697.731670799","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A www.temu.com OPT"
"15257","697.731966176","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS www.temu.com OPT"
"15319","697.762023965","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15322","697.762563594","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15323","697.762859388","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15349","697.800469156","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"15351","697.800944410","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A www.temu.com OPT"
"15352","697.801173787","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS www.temu.com OPT"
"15367","697.810372321","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15368","697.810493280","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15370","697.811059368","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15374","697.814171185","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA accounts.google.com OPT"
"15376","697.814633523","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A accounts.google.com OPT"
"15417","697.838849472","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15418","697.839146391","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15421","697.839364268","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15439","697.866726493","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15441","697.867023537","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15442","697.867438540","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15488","697.909196967","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15489","697.909460094","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15491","697.909693013","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15509","697.920068723","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"15511","697.920572685","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A www.temu.com OPT"
"15513","697.921258024","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS www.temu.com OPT"
"15542","697.949000003","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA fonts.gstatic.com OPT"
"15544","697.949405214","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A fonts.gstatic.com OPT"
"15555","697.958446122","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15557","697.958867250","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15558","697.959044793","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15601","697.980810972","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA www.temu.com OPT"
"15603","697.981467811","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A www.temu.com OPT"
"15605","697.982062149","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS www.temu.com OPT"
"15612","697.984454502","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15616","697.984861131","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15630","697.988255659","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15733","698.025062503","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15734","698.025337714","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15735","698.025520965","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15817","698.055463045","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15818","698.055795881","192.168.64.11","217.146.1.31","DoH","482","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15933","698.208472761","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15935","698.209021433","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15936","698.209298893","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15951","698.255899193","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15953","698.256190195","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A eu.pftk.temu.com OPT"
"15954","698.256396656","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"15988","698.911392959","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"15989","698.911764837","192.168.64.11","217.146.1.31","DoH","482","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
"16003","698.960864866","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA eu.pftk.temu.com OPT"
"16004","698.961018326","192.168.64.11","217.146.1.31","DoH","482","Standard query 0x0000 HTTPS eu.pftk.temu.com OPT"
